"year","country","countryn","iso","iso3n","cpds1","poco","eu","emu","gov_right1","gov_cent1","gov_left1","gov_party","gov_new","gov_gap","gov_chan","gov_right2","gov_cent2","gov_left2","gov_right3","gov_cent3","gov_left3","gov_sup","gov_type","year_01","country_01","elect","vturn","social1","social2","social3","social4","social5","social6","social7","social8","social9","leftsoc1","leftsoc2","leftsoc3","leftsoc4","leftsoc5","comm1","comm2","comm3","comm4","postcom1","postcom2","agrarian1","agrarian2","agrarian3","conserv1","conserv2","conserv3","conserv4","conserv5","conserv6","conserv7","conserv8","conserv9","conserv10","conserv11","conserv12","conserv13","relig1","relig2","relig3","relig4","relig5","relig6","relig7","liberal1","liberal2","liberal3","liberal4","liberal5","liberal6","liberal7","liberal8","liberal9","liberal10","protest1","protest2","protest3","protest4","protest5","green1","green2","green3","ethnic1","ethnic2","ethnic3","ethnic4","right1","right2","right3","right4","right5","right6","right7","regio1","femin1","monarch1","person1","pension1","pension2","nonlbl1","nonlbl2","allia1","allia2","allia3","others","year_02","country_02","ssocial1","ssocial2","ssocial3","ssocial4","ssocial5","ssocial6","ssocial7","ssocial8","ssocial9","sleftsoc1","sleftsoc2","sleftsoc3","sleftsoc4","sleftsoc5","scomm1","scomm2","scomm3","scomm4","spostcom1","spostcom2","sagrarian1","sagrarian2","sagrarian3","sconserv1","sconserv2","sconserv3","sconserv4","sconserv5","sconserv6","sconserv7","sconserv8","sconserv9","sconserv10","sconserv11","sconserv12","sconserv13","srelig1","srelig2","srelig3","srelig4","srelig5","srelig6","srelig7","sliberal1","sliberal2","sliberal3","sliberal4","sliberal5","sliberal6","sliberal7","sliberal8","sliberal9","sliberal10","sprotest1","sprotest2","sprotest3","sprotest4","sprotest5","sgreen1","sgreen2","sgreen3","sethnic1","sethnic2","sethnic3","sethnic4","sright1","sright2","sright3","sright4","sright5","sright6","sright7","sregio1","sfemin1","smonarch1","sperson1","spension1","spension2","snonlbl1","snonlbl2","sallia1","sallia2","sallia3","sothers","year_03","country_03","womenpar","rae_ele","rae_leg","effpar_ele","effpar_leg","dis_abso","dis_rel","dis_gall","year_04","country_04","lfirst","lsec","leff","lmin","lexe","ldis","lint","lfed","lbic","lrid","ljud","lbank","lfirstp","lfirstpi","lfirstpb","year_05","country_05","instcons","structur","fed","pres","prop","bic","referen","dir","judrev","year_06","country_06","kaopen","openc","outlays","receipts","realgdpgr","nomgdpgr","inflation","debt","debt_hist","deficit","pbal","capb","interest","curac","year_07","country_07","ttl_labf","civ_labf","emp_civ","labfopar","empratio","emp_ag","emp_ind","emp_serv","emp_un","unemp","year_08","country_08","nld","wi","wdlost","strike","grossu","netu","ud","adjcov","grossu_ipol","netu_ipol","ud_ipol","adjcov_ipol","year_09","country_09","sstran","socexp_t_pmp","socexp_c_pmp","socexp_k_pmp","oldage_pmp","survivor_pmp","incapben_pmp","health_pmp","family_pmp","almp_pmp","unemp_pmp","housing_pmp","othsocx_pmp","year_10","country_10","educexp_gov","educexp_gov_ipol","educexp_public","educexp_public_ipol","educexp_private","educexp_private_ipol","educatt_minimal","educatt_minimal_ipol","educatt_tertiary","educatt_tertiary_ipol","year_11","country_11","fallow_pmp","mpleave_pmp","othfam_c_pmp","childcare_pmp","homehelp_pmp","othfam_k_pmp","servadmi_pmp","training_pmp","jobrot_pmp","incent_pmp","disabled_pmp","jobcrea_pmp","startup_pmp","compen_pmp","earretir_pmp","year_12","country_12","emprot_reg","emprot_temp","prefisc_gini","pretran_gini","postfisc_gini","pop","pop15_64","pop65","elderly","year_13","country_13"
1960,"Australia",1,"AUS",36,1,0,0,0,100,0,0,1,0,0,0,100,0,0,63.1,0,0,63.1,2,1960,"Australia",,95.5,42.8,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,0,0,37.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9000000000000057,1960,"Australia",36.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6,0,0,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,"Australia",0,0.663699,0.613878,2.9735266918623497,2.5898550199159853,0.3836716719463644,0.1290291669472343,10.987037817355503,1960,"Australia",-0.73,1.63,2.22,80.7,9.1,9.44,2.12,5,4,4,3,0.42,,,,1960,"Australia",3,4,1,0,1,4,0,,1,1960,"Australia",,27.41381454467773,,21.57536042,,,3.72881355932204,,40.14869,0.458213586,1.637458869,,,-3.72983288035622,1960,"Australia",4190,4252.900000000001,4206.6,,,452,1597,2055,46.2,1.1,1960,"Australia",1145,603.3,725.11,173.05727923627686,1683,1683,53.79999923706055,92,1683,1683,53.7999992370605,92,1960,"Australia",5.5,,,,,,,,,,,,,1960,"Australia",,,,,,,,,,,1960,"Australia",,,,,,,,,,,,,,,,1960,"Australia",,,,,,10329.8,6355.9,889.8000000000003,8.613913144494571,1960,"Australia"
1961,"Australia",1,"AUS",36,1,0,0,0,100,0,0,1,0,0,1,100,0,0,62.8,0,0,62.8,2,1961,"Australia",1961-12-09,95.3,47.9,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4000000000000057,1961,"Australia",49.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,0,0,36.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1961,"Australia",0,0.6446620000000001,0.602454,2.8142219520569154,2.515432176402228,0.29878977565468734,0.10617136130158526,7.053367989832942,1961,"Australia",,,,,,,,,,,,,,,,1961,"Australia",3,4,1,0,1,4,0,,1,1961,"Australia",,26.58449172973633,,21.15828092,0.0365579919425516,0.91366449,2.28758169934641,,38.61921,-0.357624615,1.524425768,,,-0.177640249842417,1961,"Australia",4248.2,4311.400000000001,4218.900000000001,,,450,1551,2115,92.5,2.1,1961,"Australia",815,300.4,606.81,142.8393201826656,1667,1667,53.20000076293945,,1667,1667,53.20000076293945,91.56666564941406,1961,"Australia",6.1,,,,,,,,,,,,,1961,"Australia",,,,,,,,,,,1961,"Australia",,,,,,,,,,,,,,,,1961,"Australia",,,,,,10534.4,6489.200000000002,909.8,8.636467193195628,1961,"Australia"
1962,"Australia",1,"AUS",36,1,0,0,0,100,0,0,1,0,0,0,100,0,0,50.8,0,0,50.8,2,1962,"Australia",,95.3,47.9,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4000000000000057,1962,"Australia",49.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,0,0,36.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962,"Australia",0,0.6446620000000001,0.602454,2.8142219520569154,2.515432176402228,0.29878977565468734,0.10617136130158526,7.053367989832942,1962,"Australia",,,,,,,,,,,,,,,,1962,"Australia",3,4,1,0,1,4,0,,1,1962,"Australia",,26.84103012084961,"23.172518029999999",21.65426194,5.46488426315058,6.16583577,-0.319488817891374,,38.74667,-0.793822456,0.565037642,,,-0.895989636746371,1962,"Australia",4344.7,4410.7,4321.400000000001,,,449,1604,2163,89.30000000000001,2,1962,"Australia",1183,353.9,508.76,117.09899417681314,1716,1716,51.400001525878906,,1716,1716,51.40000152587891,91.13333129882812,1962,"Australia",6,,,,,,,,,,,,,1962,"Australia",,,,,,,,,,,1962,"Australia",,,,,,,,,,,,,,,,1962,"Australia",,,,,,10733.3,6633.4,929.1,8.656238062851127,1962,"Australia"
1963,"Australia",1,"AUS",36,1,0,0,0,100,0,0,1,0,0,1,100,0,0,51.14,0,0,51.14,2,1963,"Australia",1963-11-30,95.7,45.5,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0999999999999943,1963,"Australia",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,0,0,42.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1963,"Australia",0,0.641937,0.623528,2.7928046181817163,2.656240039099853,0.13656457908186326,0.04889872287978921,8.986378580941269,1963,"Australia",,,,,,,,,,,,,,,,1963,"Australia",3,4,1,0,1,4,0,,1,1963,"Australia",,28.71050834655762,"23.012874719999999",21.70614555,6.14292842490441,9.1596049,0.641025641025642,,37.34465,-0.506212261,0.829675222,,,-0.138449367088608,1963,"Australia",4450.7,4520.1,4446.5,,,449,1648,2241,73.60000000000002,1.6,1963,"Australia",1250,412.7,581.57,130.66933291392365,1763,1763,49.70000076293945,90.69999694824219,1763,1763,49.70000076293945,90.69999694824219,1963,"Australia",5.9,,,,,,,,,,,,,1963,"Australia",,,,,,,,,,,1963,"Australia",,,,,,,,,,,,,,,,1963,"Australia",,,,,,10936.7,6774.200000000002,948.9000000000002,8.676291751625262,1963,"Australia"
1964,"Australia",1,"AUS",36,1,0,0,0,100,0,0,1,0,0,0,100,0,0,59,0,0,59,2,1964,"Australia",,95.7,45.5,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0999999999999943,1964,"Australia",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,0,0,42.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1964,"Australia",0,0.641937,0.623528,2.7928046181817163,2.656240039099853,0.13656457908186326,0.04889872287978921,8.986378580941269,1964,"Australia",,,,,,,,,,,,,,,,1964,"Australia",3,4,1,0,1,4,0,,1,1964,"Australia",,28.48587036132813,"22.8797961",22.24528506,6.20135805693389,9.82001582,2.86624203821654,,35.30536,-0.080390213,1.426062733,,,-1.22917604682575,1964,"Australia",4639,4714.1,4654.6,67.2393035888672,65.55786895751953,456,1725,2314.5,59.5,1.3,1964,"Australia",1334,545.6,911.36,196.45613278723863,1808,1808,48.20000076293945,,1808,1808,48.20000076293945,90.21999816894531,1964,"Australia",5.7,,,,,,,,,,,,,1964,"Australia",,,,,,,,,,,1964,"Australia",,,,,,,,,,,,,,,,1964,"Australia",,,,,,11158.5,6921.9,964.2,8.64094636375857,1964,"Australia"
1965,"Australia",1,"AUS",36,1,0,0,0,100,0,0,1,0,0,0,100,0,0,59,0,0,59,2,1965,"Australia",,95.7,45.5,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0999999999999943,1965,"Australia",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,0,0,42.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1965,"Australia",0,0.641937,0.623528,2.7928046181817163,2.656240039099853,0.13656457908186326,0.04889872287978921,8.986378580941269,1965,"Australia",,,,,,,,,,,,,,,,1965,"Australia",3,4,1,0,1,4,0,,1,1965,"Australia",,28.06614685058594,"24.90242662",23.51176634,5.01911987114068,7.5056281,3.40557275541798,,53.99463,-0.731644434,0.677167042,,,-3.60179251999832,1965,"Australia",4784.4,4848.900000000001,4791.2,67.65817260742188,65.98023986816406,454,1775,2399.25,57.7,1.2,1965,"Australia",1346,475,815.87,170.52712983864225,1862,1862,47.900001525878906,,1862,1862,47.90000152587891,89.73999938964843,1965,"Australia",5.8,,,,,,,,,,,,,1965,"Australia",,,,,,,,,,,1965,"Australia",,,,,,,,,,,,,,,,1965,"Australia",,,,,,11407.6,7080.700000000002,982.7,8.61443248360742,1965,"Australia"
1966,"Australia",1,"AUS",36,1,0,0,0,100,0,0,1,0,0,2,100,0,0,59.35,0,0,59.35,2,1966,"Australia",1966-11-26,95.1,40,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,40.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8000000000000114,1966,"Australia",33.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,0,0,49.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7999999999999972,1966,"Australia",0.8,0.664266,0.6198139999999999,2.978548493748027,2.6302914889027993,0.3482570048452276,0.11692171726470764,10.81942697188719,1966,"Australia",,,,,,,,,,,,,,,,1966,"Australia",3,4,1,0,1,4,0,,1,1966,"Australia",,26.79074096679688,"26.056450689999998",23.15982405,2.93053587945354,7.00255476,3.29341317365268,,52.51193,-1.813948874,-0.280953545,,,-1.99616423343379,1966,"Australia",5010.2,5068.8,4994.1,66.3787365,65.2996897308944,430,1793,2562.15,74.7,1.5,1966,"Australia",1273,394.9,732.08,146.11791944433355,1869,1869,45.79999923706055,,1869,1869,45.79999923706055,89.26000061035157,1966,"Australia",5.7,,,,,,,,,,,,,1966,"Australia",,,,,,,,,,,1966,"Australia",,,,,,,,,,,,,,,,1966,"Australia",,,,,,11688.8,7261.3,1003,8.580863732804051,1966,"Australia"
1967,"Australia",1,"AUS",36,1,0,0,0,100,0,0,1,0,0,1,100,0,0,66.1,0,0,66.1,2,1967,"Australia",,95.1,40,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,40.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8000000000000114,1967,"Australia",33.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,0,0,49.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7999999999999972,1967,"Australia",0.8,0.664266,0.6198139999999999,2.978548493748027,2.6302914889027993,0.3482570048452276,0.11692171726470764,10.81942697188719,1967,"Australia",,,,,,,,,,,,,,,,1967,"Australia",3,4,1,0,1,4,0,,1,1967,"Australia",,26.78427314758301,"26.351994560000001",23.31889794,7.1914029619855,10.6892638,3.47826086956522,,49.96281,-1.806760536,-0.446731676,,,-2.5,1967,"Australia",5136.8,5189.200000000001,5107,66.5379227,65.3683479767537,429,1828,2671,82.2,1.6,1967,"Australia",1340,483.3,705.32,137.3072730104345,1893,1893,45,,1893,1893,45,88.78000183105469,1967,"Australia",5.6,,,,,,,,,,,,,1967,"Australia",,,,,,,,,,,1967,"Australia",,,,,,,,,,,,,,,,1967,"Australia",,,,,,11995.9,7413.5,1016.6,8.474562142065206,1967,"Australia"
1968,"Australia",1,"AUS",36,1,0,0,0,100,0,0,1,0,0,1,100,0,0,66.1,0,0,66.1,2,1968,"Australia",,95.1,40,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,40.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8000000000000114,1968,"Australia",33.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,0,0,49.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7999999999999972,1968,"Australia",0.8,0.664266,0.6198139999999999,2.978548493748027,2.6302914889027993,0.3482570048452276,0.11692171726470764,10.81942697188719,1968,"Australia",,,,,,,,,,,,,,,,1968,"Australia",3,4,1,0,1,4,0,,1,1968,"Australia",,25.29138565063477,"26.51605979",24.0264943,5.33764872859442,9.09830269,2.52100840336135,,48.68825,-1.348576473,-0.037436739,,,-3.52315820179562,1968,"Australia",5259.2,5310.900000000001,5234.3,66.6839435,65.6194350747119,440,1867,2739.225,76.60000000000002,1.4,1968,"Australia",1713,720.3,1079.46,205.25174931548526,1939,1939,44.79999923706055,88.30000305175781,1939,1939,44.79999923706055,88.30000305175781,1968,"Australia",5.1,,,,,,,,,,,,,1968,"Australia",,,,,,,,,,,1968,"Australia",,,,,,,,,,,,,,,,1968,"Australia",,,,,,12312.8,7579,1031.2,8.375024364888572,1968,"Australia"
1969,"Australia",1,"AUS",36,1,0,0,0,100,0,0,1,0,0,1,100,0,0,64.24,0,0,64.24,2,1969,"Australia",1969-10-25,95,47,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,34.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5999999999999943,1969,"Australia",47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,"Australia",0,0.647,0.6161920000000001,2.8328611898017,2.6054694013673507,0.22739178843434926,0.08026930131732528,6.884765791223403,1969,"Australia",,,,,,,,,,,,,-0.6414109468460083,-0.9368664622306824,-0.14556433260440826,1969,"Australia",3,4,1,0,1,4,0,,1,1969,"Australia",,26.19701385498047,"25.052902280000001",24.29528072,6.21359223300965,12.3780508,3.27868852459017,,45.50184,-0.145596765,1.305171289,,5.83833333333333,-1.91797415782188,1969,"Australia",5387.5,5440.400000000001,5365.8,66.6428819,65.6387042770977,415,1907,2865.6,74.7,1.4,1969,"Australia",2014,1285.2,1958,363.4338747099768,1980,1980,44.400001525878906,,1980,1980,44.40000152587891,87.81666946411133,1969,"Australia",5.4,,,,,,,,,,,,,1969,"Australia",,,,,,,,,,,1969,"Australia",,,,,,,,,,,,,,,,1969,"Australia",,,,,,12617.2,7762.200000000002,1044.1,8.275211615889418,1969,"Australia"
